6332 0.0145781
0.342369 0.564608 0.38026
0.361329 0.553762 0.373373
0.646555 0.556306 0.373086
0.655554 0.55609 0.368779
0.678444 0.558535 0.370117
0.691714 0.56538 0.375823
0.705976 0.564427 0.36733
0.726474 0.553204 0.373234
0.744267 0.555546 0.379171
0.754483 0.551655 0.374434
0.245144 0.568008 0.377763
0.295536 0.578568 0.382662
0.306676 0.574922 0.382306
0.323526 0.571124 0.378129
0.687145 0.574956 0.370238
0.707191 0.578064 0.383162
0.727299 0.568094 0.376666
0.739409 0.567319 0.372363
0.295044 0.58788 0.38082
0.70699 0.586168 0.379357
0.320383 0.396672 0.392206
0.69065 0.398138 0.398656
0.241835 0.415695 0.39031
0.261833 0.414715 0.396928
0.274762 0.405723 0.387692
0.297197 0.413455 0.384277
0.315102 0.407667 0.396219
0.316982 0.407088 0.398598
0.683049 0.411456 0.391382
0.689116 0.40821 0.397837
0.709435 0.406607 0.388075
0.719199 0.401077 0.390325
0.215709 0.427314 0.397964
0.23247 0.432297 0.384615
0.238452 0.427377 0.398553
0.260875 0.418224 0.389053
0.279192 0.427921 0.397996
0.289564 0.417673 0.390244
0.314862 0.426157 0.397573
0.320913 0.417528 0.386666
0.336425 0.426765 0.393243
0.363019 0.429426 0.397235
0.37582 0.429223 0.39267
0.627964 0.430002 0.39296
0.649968 0.422654 0.399431
0.652729 0.417877 0.398073
0.67976 0.418536 0.39235
0.685349 0.431089 0.398969
0.701955 0.419182 0.39674
0.726207 0.423165 0.384507
0.738917 0.423707 0.386095
0.766402 0.432246 0.388275
0.770202 0.424879 0.38877
0.222142 0.448631 0.39118
0.235603 0.444178 0.384047
0.266462 0.438188 0.398224
0.270745 0.445543 0.391614
0.296482 0.435937 0.385587
0.302505 0.44386 0.39827
0.319491 0.434598 0.383839
0.340414 0.440569 0.388714
0.365572 0.436208 0.39289
0.37495 0.449623 0.394131
0.383721 0.442816 0.388393
0.623972 0.434645 0.392952
0.643624 0.434572 0.384502
0.663222 0.444764 0.386883
0.66929 0.437072 0.396978
0.691307 0.438066 0.386994
0.707111 0.434475 0.394723
0.72258 0.437797 0.385337
0.748929 0.447097 0.390529
0.764277 0.443628 0.39893
0.78017 0.443129 0.38406
0.20186 0.46353 0.392882
0.227695 0.464195 0.396325
0.237559 0.465898 0.391098
0.255042 0.461837 0.394552
0.277363 0.453652 0.392139
0.289685 0.456983 0.398027
0.313536 0.45618 0.392513
0.317557 0.451376 0.392448
0.339607 0.45612 0.38877
0.35428 0.465911 0.39776
0.376444 0.465059 0.386001
0.387723 0.45911 0.385053
0.402374 0.458271 0.397501
0.614421 0.464641 0.392056
0.631258 0.461499 0.386752
0.644717 0.455663 0.399293
0.665354 0.456405 0.390501
0.677802 0.452922 0.39817
0.694026 0.457338 0.397192
0.713416 0.451258 0.385977
0.721447 0.451931 0.391276
0.742955 0.454986 0.396822
0.754171 0.450935 0.389678
0.768865 0.456201 0.383536
0.228695 0.479374 0.399454
0.244646 0.468212 0.390465
0.253855 0.483186 0.392426
0.27114 0.480273 0.389448
0.290038 0.474134 0.395892
0.30429 0.478045 0.386506
0.332436 0.4773 0.397896
0.341694 0.471673 0.395189
0.357827 0.482389 0.399292
0.371599 0.478485 0.394395
0.396282 0.467288 0.388984
0.607594 0.47498 0.393915
0.618801 0.47973 0.395444
0.633728 0.480305 0.394174
0.662196 0.470382 0.397943
0.67038 0.483095 0.389373
0.687172 0.48175 0.38656
0.712637 0.481552 0.399754
0.730626 0.469016 0.391057
0.741658 0.475586 0.383709
0.756989 0.47954 0.399414
0.773092 0.473677 0.399381
0.799756 0.481019 0.390949
0.201232 0.486227 0.387157
0.221453 0.496782 0.394416
0.247155 0.486943 0.387065
0.265789 0.485513 0.393428
0.27059 0.49974 0.396683
0.292723 0.493288 0.398952
0.306814 0.494019 0.391439
0.327931 0.495327 0.389228
0.336777 0.496628 0.388433
0.356849 0.498567 0.389194
0.379166 0.483923 0.383416
0.398477 0.499646 0.394306
0.605995 0.491447 0.391821
0.623088 0.492604 0.399976
0.644839 0.490069 0.397926
0.658041 0.492999 0.39126
0.681511 0.490853 0.397985
0.687624 0.48357 0.395694
0.704162 0.493098 0.388883
0.723748 0.488829 0.39164
0.746446 0.49461 0.393277
0.765175 0.489579 0.385036
0.774341 0.485397 0.387036
0.792087 0.494114 0.387264
0.208335 0.507532 0.39914
0.232848 0.503757 0.386816
0.236278 0.513702 0.389756
0.258072 0.507218 0.399902
0.273032 0.50359 0.398032
0.291408 0.515291 0.398952
0.302522 0.514808 0.389763
0.321564 0.506505 0.385698
0.341279 0.504999 0.388839
0.351153 0.502464 0.394885
0.377193 0.511902 0.390938
0.397699 0.510359 0.385781
0.40173 0.500062 0.395678
0.615098 0.510373 0.390727
0.629594 0.513735 0.399926
0.641951 0.50125 0.389145
0.656304 0.505312 0.397974
0.679948 0.509601 0.384277
0.697985 0.515592 0.393216
0.711047 0.516284 0.392047
0.730471 0.501234 0.388625
