9065 0.0145781
0.464844 0.54339 0.223316
0.479375 0.548036 0.229958
0.486111 0.539216 0.223807
0.508489 0.544366 0.227262
0.532387 0.548924 0.228299
0.533758 0.542411 0.222232
0.565271 0.54811 0.228836
0.580111 0.540357 0.229964
0.597057 0.534808 0.228558
0.603812 0.53831 0.217791
0.620608 0.544691 0.223277
0.648628 0.532701 0.222504
0.659554 0.538198 0.231222
0.678341 0.538045 0.227356
0.447044 0.564864 0.231714
0.45959 0.553562 0.218749
0.468922 0.557588 0.219555
0.486573 0.560621 0.233015
0.515407 0.561945 0.22728
0.532001 0.561765 0.230311
0.547525 0.556875 0.223793
0.564404 0.563607 0.21885
0.579766 0.559264 0.220228
0.583884 0.556207 0.225679
0.600476 0.562631 0.22977
0.628838 0.550442 0.228241
0.636783 0.558722 0.225686
0.654185 0.551359 0.216769
0.439805 0.576287 0.232792
0.457513 0.573843 0.217577
0.479828 0.575531 0.224741
0.490067 0.579554 0.219189
0.512529 0.568286 0.229598
0.528425 0.566871 0.232182
0.540244 0.570683 0.220552
0.555266 0.574079 0.232724
0.567806 0.570349 0.230797
0.587808 0.577504 0.217863
0.614942 0.581033 0.2325
0.631185 0.580999 0.232006
0.638528 0.577173 0.229603
0.677152 0.571007 0.228432
0.443832 0.593376 0.230137
0.457283 0.594498 0.225642
0.473127 0.584597 0.225655
0.490976 0.587674 0.224878
0.502622 0.598044 0.230411
0.521151 0.594103 0.225225
0.541884 0.59418 0.218788
0.565341 0.596193 0.232796
0.571985 0.583061 0.226252
0.585522 0.58796 0.224807
0.60151 0.590304 0.223015
0.624898 0.595218 0.230523
0.644563 0.592699 0.224972
0.654895 0.582397 0.222651
0.671769 0.58615 0.229363
0.465424 0.608076 0.219275
0.46732 0.608588 0.219858
0.489061 0.607306 0.232982
0.501149 0.599253 0.221317
0.530821 0.611573 0.225465
0.53967 0.606967 0.228097
0.562894 0.610558 0.226265
0.577937 0.613402 0.218169
0.599472 0.604138 0.222061
0.616509 0.615528 0.232777
0.622892 0.614327 0.229032
0.643473 0.60959 0.229822
0.454228 0.628759 0.231798
0.473178 0.632257 0.226444
0.496966 0.621497 0.231253
0.501428 0.616021 0.229098
0.521025 0.631551 0.222541
0.544144 0.616088 0.226177
0.559891 0.622213 0.22821
0.581629 0.625213 0.219365
0.597748 0.631611 0.232904
0.604281 0.627005 0.231349
0.625381 0.630454 0.232202
0.644422 0.630236 0.226165
0.482129 0.636339 0.229372
0.486406 0.633611 0.228562
0.51223 0.645521 0.22537
0.532206 0.641556 0.226587
0.535815 0.642462 0.22467
0.564754 0.645691 0.233193
0.582752 0.634391 0.220476
0.584195 0.64411 0.231025
0.612382 0.634416 0.226686
0.501935 0.663779 0.226156
0.518268 0.649268 0.232924
0.544182 0.649569 0.226417
0.555961 0.658154 0.232813
0.582041 0.657558 0.228434
0.598497 0.664154 0.232828
0.616753 0.655359 0.22779
0.567132 0.672627 0.226112
0.516362 0.403631 0.245324
0.530123 0.408823 0.238214
0.555363 0.408142 0.246885
0.567931 0.399463 0.246518
0.602421 0.412507 0.244646
0.498743 0.426585 0.234858
0.504955 0.417041 0.249822
0.529487 0.423385 0.243101
0.533883 0.431323 0.249056
0.552286 0.418688 0.234987
0.580644 0.42702 0.235763
0.598975 0.429474 0.243969
0.611462 0.428877 0.236787
0.642984 0.426296 0.249527
0.467512 0.438812 0.248502
0.495824 0.444279 0.244823
0.502954 0.444038 0.2474
0.528574 0.438697 0.24015
0.546811 0.446749 0.240579
0.554732 0.436783 0.240403
0.58267 0.44424 0.243566
0.599361 0.436155 0.234428
0.611564 0.44307 0.245176
0.617259 0.444773 0.237539
0.639096 0.433504 0.242974
0.444448 0.450995 0.249244
0.456471 0.465003 0.237746
0.468824 0.461229 0.246308
0.484745 0.460171 0.233864
0.513217 0.451491 0.236983
0.525365 0.454432 0.235066
0.548553 0.45923 0.249293
0.551511 0.450847 0.241051
0.577665 0.461693 0.242069
0.598161 0.450051 0.233723
0.607175 0.460865 0.246783
0.622615 0.457608 0.238022
0.647052 0.459071 0.237758
0.664273 0.463979 0.246414
0.443195 0.473203 0.23542
0.450652 0.470305 0.248525
0.479358 0.472137 0.236845
0.497506 0.475668 0.234725
0.515743 0.467417 0.246472
0.520562 0.481889 0.245568
0.544555 0.479061 0.249287
0.55118 0.467774 0.246049
0.582895 0.479997 0.236878
0.599201 0.476358 0.248381
0.613396 0.472252 0.24906
0.622906 0.474243 0.239602
0.641128 0.478931 0.236364
0.654844 0.465796 0.249982
0.422763 0.485695 0.240823
0.447267 0.482582 0.241111
0.450735 0.490819 0.236862
0.475995 0.488662 0.240324
0.492032 0.487494 0.24931
0.50757 0.4935 0.246461
0.525522 0.486654 0.241753
0.547821 0.491542 0.239163
0.562089 0.497325 0.243833
0.571833 0.493935 0.247938
0.598992 0.489202 0.233613
0.604506 0.483448 0.243139
0.633073 0.489393 0.249399
0.640021 0.493827 0.248379
0.654809 0.48402 0.233867
0.420348 0.503559 0.24719
0.448046 0.515568 0.236083
0.451156 0.508835 0.245669
0.473251 0.508604 0.234405
0.48814 0.501686 0.235157
0.510538 0.506433 0.236263
0.519908 0.504003 0.244973
0.544635 0.500495 0.24482
0.55225 0.507464 0.24764
0.581143 0.50232 0.238202
0.585211 0.502618 0.241144
0.615292 0.513647 0.235324
0.625703 0.505776 0.237805
0.643064 0.51378 0.240634
0.65626 0.49947 0.240442
0.681813 0.505995 0.245257
0.683802 0.506398 0.239496
0.414118 0.531357 0.236441
0.427448 0.525874 0.244641
0.447843 0.526976 0.235252
0.465255 0.525108 0.247696
0.469101 0.52573 0.2482
0.484779 0.526029 0.234291
0.515246 0.516147 0.248899
0.532137 0.522307 0.240789
0.548604 0.524895 0.246174
0.558057 0.526126 0.247302
0.567224 0.52359 0.242856
0.599661 0.523115 0.240043
0.60684 0.517154 0.235322
0.628485 0.525864 0.244413
0.641654 0.532285 0.239575
0.651176 0.522389 0.234121
0.67554 0.526891 0.240109
0.414983 0.532775 0.248215
0.418275 0.539122 0.240022
0.438818 0.535372 0.241274
0.464787 0.544761 0.238435
0.478261 0.542879 0.24957
0.49369 0.548726 0.248554
0.500671 0.535299 0.245634
0.521306 0.538394 0.242955
0.534425 0.538097 0.248985
0.553909 0.548643 0.236321
0.574385 0.539146 0.237433
0.592521 0.545029 0.246372
0.61568 0.544779 0.23977
0.626416 0.544345 0.243279
0.649848 0.54756 0.247452
0.665512 0.534225 0.241708
0.682335 0.536853 0.241258
0.684262 0.542891 0.24402
0.413015 0.557793 0.244313
0.42491 0.549967 0.237179
0.440147 0.5563 0.240401
0.454029 0.549779 0.237783
0.477127 0.561735 0.245754
0.489153 0.557273 0.239808
0.515797 0.554088 0.239377
0.520267 0.551847 0.237304
0.536053 0.549937 0.235721
0.551251 0.561198 0.243136
0.576345 0.560339 0.241643
0.590414 0.564896 0.245607
0.609926 0.562172 0.244722
0.61813 0.55376 0.236831
0.647676 0.558556 0.244141
0.652121 0.554674 0.238565
0.673605 0.565618 0.241776
0.686032 0.563892 0.246393
0.407624 0.567034 0.249921
0.423076 0.569169 0.246485
0.443149 0.57145 0.233659
0.452406 0.579908 0.234541
0.481122 0.57784 0.247538
0.488361 0.580226 0.244757
0.508931 0.582133 0.234802
0.523786 0.577823 0.24063
0.533465 0.580026 0.236626
0.551692 0.566602 0.233709
0.580015 0.574798 0.234523
0.587204 0.575163 0.235755
0.602072 0.578415 0.233815
0.631404 0.575328 0.243396
0.643809 0.576143 0.235912
0.650921 0.567612 0.240641
0.671606 0.576859 0.23826
0.413897 0.590413 0.245544
0.43051 0.585687 0.247042
0.444539 0.596371 0.245515
0.463645 0.596829 0.246945
0.473999 0.597066 0.237396
0.4969 0.590359 0.233443
0.503183 0.595076 0.234144
0.52524 0.596707 0.233628
0.549907 0.597252 0.247781
0.556008 0.589892 0.247519
0.569152 0.586179 0.249059
0.585418 0.585101 0.239018
0.61081 0.58731 0.237614
0.631099 0.593111 0.245034
0.635525 0.584053 0.247761
0.652881 0.588864 0.236172
0.678689 0.590643 0.240133
0.415752 0.609894 0.248979
0.422116 0.601683 0.244991
0.447551 0.608629 0.235118
0.454392 0.613389 0.244745
0.479121 0.603071 0.239168
0.489669 0.610091 0.248347
0.514791 0.614108 0.236474
0.528408 0.600794 0.239328
0.542216 0.604609 0.242257
0.553525 0.610638 0.241124
0.567196 0.614532 0.238775
0.598378 0.600037 0.240726
0.613412 0.610665 0.243133
0.617649 0.610827 0.240371
0.645782 0.614917 0.247677
0.656889 0.60813 0.233402
0.67195 0.608292 0.233525
0.429179 0.616172 0.248718
0.44558 0.631816 0.242178
0.463361 0.630258 0.245065
0.482428 0.623341 0.247858
0.497318 0.626746 0.241541
0.501065 0.617923 0.235807
0.521662 0.632242 0.242529
0.53827 0.631484 0.248928
0.563994 0.629396 0.236636
0.568485 0.631773 0.241693
0.588637 0.620123 0.242396
0.614618 0.625206 0.245618
0.621575 0.618412 0.234586
0.639268 0.618401 0.243287
0.651071 0.631225 0.240019
0.670322 0.625453 0.243561
0.431222 0.636962 0.243478
0.449877 0.633753 0.240529
0.462159 0.634312 0.234952
0.477763 0.632615 0.244045
0.492118 0.636575 0.248137
0.508891 0.644473 0.248225
0.520328 0.639048 0.242187
0.539156 0.636363 0.243974
0.566258 0.640405 0.239741
0.579083 0.636575 0.241119
0.584687 0.641124 0.242968
0.602443 0.644091 0.240359
0.626311 0.635786 0.23614
0.644548 0.642552 0.247849
0.667158 0.634984 0.242442
0.456132 0.651172 0.241406
0.475161 0.663525 0.239283
0.492149 0.65288 0.246944
0.513026 0.658215 0.24242
0.52809 0.65498 0.246462
0.545535 0.655603 0.235639
0.562753 0.657545 0.235095
0.579947 0.656125 0.247086
0.590919 0.662263 0.233391
0.602431 0.649328 0.240806
0.617397 0.65929 0.247174
0.637602 0.655331 0.244647
0.482088 0.668531 0.240616
0.488189 0.678898 0.246601
0.505363 0.671072 0.242322
0.519185 0.676702 0.235983
0.533535 0.673585 0.234798
0.56266 0.67696 0.243758
0.577291 0.673932 0.239355
0.60058 0.680398 0.248601
0.500888 0.684683 0.246202
0.519913 0.692309 0.248919
0.536443 0.68463 0.245759
0.561745 0.691097 0.242793
0.571697 0.689326 0.249952
0.584243 0.688014 0.243343
0.497036 0.394835 0.259824
0.511457 0.395976 0.25693
0.520792 0.394287 0.265802
0.546861 0.396287 0.263233
0.553312 0.394167 0.256332
0.577747 0.391757 0.260942
0.600788 0.393348 0.260777
0.468166 0.406687 0.263983
0.510593 0.406487 0.263981
0.530818 0.401648 0.253551
0.543614 0.400027 0.25326
0.552673 0.411696 0.253651
0.57131 0.412687 0.262905
0.59486 0.401115 0.257177
0.605507 0.400347 0.2605
0.45982 0.423744 0.26302
0.471407 0.423229 0.2614
0.492154 0.424649 0.266092
0.50069 0.418913 0.265098
0.530266 0.416882 0.262913
0.53483 0.42665 0.251483
0.551967 0.419292 0.255286
0.567744 0.427375 0.255104
0.589343 0.419749 0.25069
0.600692 0.428837 0.250704
0.620002 0.415913 0.26554
0.634049 0.422371 0.259156
0.438722 0.441419 0.252445
0.465629 0.444382 0.259559
0.46669 0.437417 0.252871
0.497963 0.448029 0.263685
0.515947 0.444374 0.251357
0.522613 0.448329 0.253629
0.539049 0.443053 0.2553
0.566576 0.44325 0.265596
0.580263 0.435811 0.25144
0.585079 0.439684 0.260462
0.60978 0.43875 0.263026
0.628267 0.446535 0.258962
0.646785 0.434825 0.251606
0.659764 0.439601 0.260949
0.447364 0.465626 0.257008
0.465715 0.460697 0.252247
0.476708 0.456706 0.259947
0.488413 0.458944 0.252877
0.503839 0.459807 0.259222
0.516905 0.461558 0.264414
0.541983 0.459462 0.258197
0.565584 0.463121 0.264989
0.56975 0.456287 0.264779
0.597527 0.457125 0.252449
0.60882 0.458823 0.253166
0.617785 0.462689 0.250707
0.639567 0.459177 0.252498
0.661663 0.456071 0.261406
0.679983 0.456689 0.264466
0.431057 0.46573 0.253065
0.435385 0.468171 0.26606
0.4546 0.48026 0.266552
0.469785 0.481848 0.256801
0.495047 0.480841 0.25727
0.502268 0.46744 0.25759
0.526078 0.481828 0.255042
0.533915 0.476081 0.260853
0.55148 0.470772 0.25888
0.573559 0.473333 0.262106
0.588564 0.468596 0.261774
0.605496 0.467451 0.250888
0.618492 0.471365 0.261814
0.648893 0.473126 0.25063
0.666549 0.468815 0.25346
0.673272 0.482038 0.250972
0.688524 0.481893 0.263719
0.39868 0.493871 0.262865
0.416603 0.493274 0.261866
0.423279 0.484039 0.265961
0.43905 0.484642 0.25566
0.460821 0.491997 0.251328
0.475479 0.493102 0.264921
0.490722 0.491457 0.252096
0.502391 0.49172 0.253667
0.526216 0.485096 0.254866
0.548962 0.491952 0.251157
0.558782 0.488822 0.25039
0.570943 0.48263 0.264394
0.599697 0.484361 0.264327
0.607654 0.491189 0.25647
0.619331 0.484004 0.259278
0.644062 0.491946 0.251215
0.661427 0.49696 0.259514
0.679782 0.498651 0.251548
0.688911 0.484795 0.257444
0.401184 0.506867 0.257748
0.420874 0.502635 0.26646
0.438326 0.509367 0.255232
0.465926 0.512659 0.264057
0.47251 0.51025 0.257542
0.491133 0.500311 0.263954
0.510589 0.513693 0.264255
0.526913 0.510045 0.265545
0.536847 0.515262 0.256517
0.557056 0.511801 0.2579
0.569223 0.514904 0.255538
0.592134 0.512794 0.25591
0.614682 0.509223 0.265458
0.62486 0.502254 0.262866
0.647889 0.513522 0.2602
0.658349 0.506917 0.256879
0.668266 0.510189 0.250897
