9065 0.0145781
0.560184 0.499318 0.191326
0.566912 0.494179 0.195178
0.539625 0.516043 0.197971
0.557868 0.505792 0.199586
0.577977 0.504995 0.193566
0.590518 0.5034 0.198381
0.517288 0.525892 0.191996
0.537765 0.532129 0.193551
0.561067 0.529083 0.194863
0.502994 0.545999 0.190125
0.519097 0.542973 0.19271
0.536641 0.545611 0.192945
0.569841 0.545434 0.193359
0.59864 0.547083 0.194115
0.501548 0.550961 0.191821
0.52061 0.552956 0.198342
0.548097 0.56238 0.198982
0.564497 0.560954 0.187573
0.582874 0.557915 0.192934
0.509711 0.578306 0.198934
0.525884 0.572648 0.192016
0.53961 0.583332 0.19128
0.56632 0.572772 0.194966
0.583783 0.572625 0.199576
0.519605 0.587149 0.191163
0.561892 0.598194 0.195666
0.572824 0.59458 0.197014
0.596389 0.597138 0.197753
0.553163 0.604351 0.196477
0.558965 0.619909 0.198875
0.499351 0.46333 0.214103
0.512728 0.460169 0.210554
0.53012 0.460684 0.213467
0.58083 0.452487 0.214084
0.474001 0.480888 0.215986
0.506797 0.468216 0.209931
0.529362 0.47994 0.205583
0.533538 0.475812 0.205102
0.550748 0.472319 0.213807
0.57351 0.467439 0.207479
0.459267 0.492391 0.215123
0.475104 0.48616 0.212521
0.489387 0.498326 0.20292
0.508222 0.492209 0.201315
0.525992 0.485511 0.215941
0.547648 0.495491 0.212331
0.550218 0.493189 0.202745
0.573445 0.497498 0.215535
0.589396 0.487325 0.204622
0.61416 0.485519 0.2162
0.62835 0.495166 0.208294
0.642637 0.49419 0.216171
0.465805 0.514285 0.207546
0.480759 0.50559 0.210916
0.496386 0.511981 0.21025
0.502853 0.514727 0.207599
0.527639 0.50654 0.200646
0.542286 0.516129 0.210534
0.562447 0.51043 0.215014
0.581654 0.510219 0.204861
0.590739 0.516394 0.200194
0.612822 0.514381 0.211226
0.617243 0.513753 0.204765
0.471298 0.521189 0.20932
0.49922 0.5249 0.210983
0.508423 0.530076 0.208242
0.527524 0.526078 0.204557
0.536074 0.532456 0.207743
0.554091 0.518295 0.202745
0.573855 0.532606 0.206772
0.596286 0.522771 0.207098
0.605983 0.519114 0.206123
0.626172 0.527019 0.203028
0.63357 0.525966 0.207006
0.653718 0.518992 0.215602
0.456369 0.543481 0.212308
0.469876 0.544581 0.205528
0.490976 0.538452 0.202723
0.514431 0.540789 0.203452
0.532549 0.538252 0.205231
0.546354 0.549105 0.209452
0.559153 0.548582 0.206096
0.573163 0.542792 0.204614
0.593286 0.540682 0.207745
0.608084 0.546038 0.211123
0.629204 0.541731 0.215717
0.63798 0.549989 0.216454
0.465122 0.566421 0.210895
0.475916 0.556553 0.208342
0.483531 0.556372 0.200072
0.506993 0.557096 0.206789
0.526155 0.557762 0.215965
0.538753 0.563077 0.214351
0.566194 0.566406 0.208711
0.575415 0.55616 0.200903
0.584337 0.560174 0.211887
0.615725 0.562025 0.200677
0.626825 0.562421 0.201539
0.469712 0.582946 0.213602
0.495698 0.58181 0.212356
0.51218 0.576231 0.215608
0.523077 0.572816 0.206977
0.537686 0.578878 0.202236
0.56274 0.577976 0.216023
0.56922 0.576782 0.215206
0.587088 0.578983 0.210001
0.606903 0.569775 0.212936
0.616692 0.579636 0.210639
0.63843 0.575276 0.213694
0.474782 0.591019 0.212955
0.491485 0.598368 0.209717
0.51046 0.584761 0.208973
0.518612 0.588194 0.216663
0.538964 0.590909 0.204552
0.558737 0.585041 0.207458
0.582888 0.595494 0.210389
0.587328 0.591015 0.216321
0.606534 0.599887 0.21077
0.618067 0.590218 0.202703
0.466666 0.602247 0.213065
0.477993 0.607363 0.206783
0.49252 0.600049 0.206556
0.501809 0.613979 0.203619
0.528109 0.610438 0.200292
0.540683 0.601633 0.208455
0.557967 0.613804 0.202909
0.568972 0.607525 0.213091
0.593058 0.601184 0.211185
0.609755 0.60286 0.207664
0.621434 0.609417 0.211142
0.637722 0.603098 0.211615
0.515315 0.620973 0.203991
0.521458 0.631424 0.208059
0.544663 0.625619 0.210763
0.551932 0.630555 0.21609
0.581922 0.629689 0.215255
0.598289 0.630535 0.214385
0.609876 0.619665 0.215399
0.529718 0.638698 0.21658
0.572033 0.63515 0.207488
0.544853 0.659596 0.216559
0.484713 0.432941 0.232817
0.495249 0.447477 0.228736
0.50026 0.44347 0.228137
0.523156 0.438387 0.225062
0.544021 0.44639 0.222879
0.55705 0.445615 0.227788
0.574447 0.434409 0.22813
0.47813 0.458474 0.223445
0.484244 0.45195 0.222256
0.507089 0.451314 0.22891
0.524615 0.462272 0.227763
0.53976 0.452825 0.217948
0.56096 0.45239 0.220732
0.581915 0.462945 0.222158
0.584385 0.458543 0.230583
0.610696 0.462863 0.228148
0.624865 0.459298 0.220658
0.44263 0.471906 0.23326
0.457069 0.470075 0.227296
0.481791 0.477164 0.226763
0.489812 0.483104 0.220652
0.502619 0.473764 0.21785
0.530654 0.47609 0.216703
0.534814 0.479742 0.222419
0.558695 0.470443 0.226088
0.574149 0.481538 0.230896
0.599241 0.475858 0.230401
0.60676 0.481529 0.226981
0.62517 0.477621 0.233212
0.6437 0.479384 0.232785
0.462177 0.486411 0.226829
0.481392 0.493 0.231321
0.4883 0.497619 0.225029
0.500012 0.495129 0.221157
0.530535 0.486303 0.229386
0.541855 0.48551 0.218755
0.554171 0.494826 0.231572
0.574159 0.496203 0.219226
0.596996 0.48542 0.217877
0.601741 0.499212 0.220585
0.632856 0.483908 0.224711
0.647541 0.496996 0.22432
0.440422 0.510098 0.219551
0.457875 0.503455 0.22814
0.476367 0.516231 0.233103
0.48904 0.514819 0.219111
0.510693 0.507474 0.232748
0.517199 0.501806 0.222215
0.548468 0.510043 0.231585
0.557906 0.516463 0.224946
0.569963 0.50005 0.231176
0.593663 0.510801 0.228106
0.601072 0.503997 0.218015
